name,formattedAddress,location,displayName,websiteUri
places/ChIJ2dJ3toBLwokRboMfKcWTv0g,"2655 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.5817528, 'longitude': -74.16546819999999}","{'text': 'Embroidery Creations', 'languageCode': 'en'}",https://www.embroideryshopstatenisland.com/
places/ChIJOQeglJFNwokRso8ebx8o5Tg,"2315 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.591282, 'longitude': -74.1640461}","{'text': 'Embroidery Creations', 'languageCode': 'en'}",https://embroideryshopstatenisland.com/
places/ChIJq6oG_CVawokRLdaduADgBf0,"Appoinment Only, 108 Madison St, New York, NY 10002, USA","{'latitude': 40.712053999999995, 'longitude': -73.9951466}","{'text': 'JB Screen Printing & Embroidery', 'languageCode': 'en'}",http://www.jbprintny.com/
places/ChIJswWitMhEwokReKGzY1xQF40,"1396 Coney Island Ave, Brooklyn, NY 11230, USA","{'latitude': 40.6234665, 'longitude': -73.96518929999999}","{'text': 'Embroider a Gift', 'languageCode': 'en'}",
places/ChIJmRWEpe_Gw4kRSHlLfbksgHI,"873 Hamilton St, Somerset, NJ 08873, USA","{'latitude': 40.488613199999996, 'longitude': -74.480886}","{'text': ""Lorraine's Junior Department Store"", 'languageCode': 'en'}",http://lorrainesembroidery.com/
places/ChIJ6xDLj_1NwokROiAIYdRh4B4,"former location, 172 Broadway, Bayonne, NJ 07002, USA","{'latitude': 40.6520114, 'longitude': -74.1280006}","{'text': 'Mark Sportswear Screen Printing & Embroidery', 'languageCode': 'en'}",http://www.marksportswear.com/
places/ChIJPz8Go2PUw4kRgZ08bB2weR8,"588 Park Ave, Freehold, NJ 07728, USA","{'latitude': 40.2485298, 'longitude': -74.2707143}","{'text': 'Morales Embroidery & Screen Printing LLC', 'languageCode': 'en'}",http://www.moralesembroidery.com/
places/ChIJ9xCIr7JKwokRpGjZoB_CL1E,"280 Page Ave, Staten Island, NY 10307, USA","{'latitude': 40.516881399999995, 'longitude': -74.2346652}","{'text': 'Legends Sporting Goods / GothamOutfitters.com', 'languageCode': 'en'}",
places/ChIJCSv18axZwokR8DMn38zjo-Q,"256 W 38th St 1st fl, New York, NY 10018, USA","{'latitude': 40.754236, 'longitude': -73.990798}","{'text': 'Jonathan Embroidery Plus', 'languageCode': 'en'}",http://www.jeplus.com/
places/ChIJLXM4_7ZLwokRXd2DX6sut2I,"2655 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.582690799999995, 'longitude': -74.1661953}","{'text': 'Custom Apparel Company', 'languageCode': 'en'}",
places/ChIJla3Xzq9ZwokRqvyjw2aHIro,"222 W 30th St, New York, NY 10001, USA","{'latitude': 40.748748, 'longitude': -73.99369}","{'text': 'Embroidery Place', 'languageCode': 'en'}",http://www.embroideryplace.org/
places/ChIJpx0mZZXGw4kRCXcOZW286pU,"56 School Ave, Somerset, NJ 08873, USA","{'latitude': 40.482817499999996, 'longitude': -74.4869764}","{'text': 'Jersey Fresh Embroidery', 'languageCode': 'en'}",http://www.embroidery-nj.com/
places/ChIJVUxdf4A1wokRh1-LW4lI1to,"319 Main St # B4, Keansburg, NJ 07734, USA","{'latitude': 40.4404816, 'longitude': -74.1307401}","{'text': 'Emb clinic llc', 'languageCode': 'en'}",
places/ChIJ5Rp1iKxZwokRIk1ldIyuyYI,"sub cellar, 1430 Broadway, New York, NY 10018, USA","{'latitude': 40.7539398, 'longitude': -73.9865382}","{'text': 'The Embroidery House and Son', 'languageCode': 'en'}",https://embroideryhouseandson.com/
places/ChIJR-B1wPuyw4kRRPPmt56iK-c,"5 Newcomb Pl, Elizabeth, NJ 07202, USA","{'latitude': 40.6573329, 'longitude': -74.22850199999999}","{'text': 'Uniform Creations', 'languageCode': 'en'}",http://www.uniformcreations.com/
places/ChIJH0DnjkJFwokR9anheYvUqVw,"3694 Nostrand Ave, Brooklyn, NY 11229, USA","{'latitude': 40.5939093, 'longitude': -73.9409648}","{'text': 'Print shop Brooklyn', 'languageCode': 'en'}",http://www.printxprinting.com/
places/ChIJa6uerxnfw4kR4abf-KZ7WOk,"177 Mercer St, Hightstown, NJ 08520, USA","{'latitude': 40.2674301, 'longitude': -74.5265474}","{'text': 'Stitches-n-Ink', 'languageCode': 'en'}",http://www.stitches-n-ink.com/
places/ChIJ4QJqTG9NwokRX-L902P0B-8,"651 Kapkowski Rd, Elizabeth, NJ 07201, USA","{'latitude': 40.6607389, 'longitude': -74.1725525}","{'text': 'CUSTOM TEES', 'languageCode': 'en'}",https://www.instagram.com/customizeurstuff/
places/ChIJl1z6yfS5w4kR_siAKkFSUBQ,"12 Washington Ave, Plainfield, NJ 07060, USA","{'latitude': 40.6159038, 'longitude': -74.4287214}","{'text': 'NJ Printing & Embroidery LLC', 'languageCode': 'en'}",http://www.njprintingllc.com/
places/ChIJE4-QqW7Vw4kRdsiwa3-m1ow,"3710 US-9, Freehold, NJ 07728, USA","{'latitude': 40.2518545, 'longitude': -74.29986579999999}","{'text': 'Custom Land', 'languageCode': 'en'}",
places/ChIJ6-_Qc1E3wokR3wzWxdG66KI,"515 NJ-36, Belford, NJ 07718, USA","{'latitude': 40.422121499999996, 'longitude': -74.0952748}","{'text': 'Zeeks Tees', 'languageCode': 'en'}",http://zeekstees.com/
places/ChIJsX46uKIDw4kRPJ4DKnDjKCM,"143 Newark Pompton Turnpike, Pequannock Township, NJ 07440, USA","{'latitude': 40.9464231, 'longitude': -74.28706389999999}","{'text': 'Initial Encounter Embroidery', 'languageCode': 'en'}",http://www.initialencounter.com/
places/ChIJUxJNx386sG0RX5UGyvRJW_A,"398 Kings Hwy, Brooklyn, NY 11223, USA","{'latitude': 40.6042868, 'longitude': -73.9751975}","{'text': 'Brooklyn Affordable Screen Printing', 'languageCode': 'en'}",https://brooklynaffordablescreenprinting.com/
places/ChIJQ8Sv-axZwokRaAfr-HC6f2E,"247 W 37th St Floor 11, New York, NY 10018, USA","{'latitude': 40.7540233, 'longitude': -73.9913332}","{'text': 'Trimworld Inc. New York Embroidery', 'languageCode': 'en'}",https://trimworldnyc.com/
places/ChIJBXQGCj61w4kRyrvLeeMZzlc,"680 Sharrotts Rd # 6, Staten Island, NY 10309, USA","{'latitude': 40.538456499999995, 'longitude': -74.2405189}","{'text': 'X-Treme Signs & Graphix', 'languageCode': 'en'}",
places/ChIJ0QIocjhFwokRen7T4-qNdTM,"6509 11th Ave, Brooklyn, NY 11219, USA","{'latitude': 40.628217, 'longitude': -74.005915}","{'text': 'USATees.com', 'languageCode': 'en'}",http://www.usatees.com/
places/ChIJ8Yw0SrW5w4kRRIXwEpNWOSM,"1324 New Market Ave, South Plainfield, NJ 07080, USA","{'latitude': 40.5805121, 'longitude': -74.431252}","{'text': 'Aka Incorporated', 'languageCode': 'en'}",http://akaincorporated.com/
places/ChIJWe9gy_p-wYkRp9yJbRtr2lw,"9 Terrence Terrace, Freehold, NJ 07728, USA","{'latitude': 40.2758507, 'longitude': -74.26839}","{'text': 'Game Time Apparel', 'languageCode': 'en'}",https://gtsportsapparel.com/
places/ChIJcenMfCSyw4kRmGl9gLTgONQ,"11 N Ave E, Cranford, NJ 07016, USA","{'latitude': 40.656002199999996, 'longitude': -74.3033532}","{'text': ""Think D'sign Print"", 'languageCode': 'en'}",https://www.tdpnj.com/
places/ChIJlyMGuV3Uw4kR4biQDD9zdCk,"17 Elm St #19, Freehold, NJ 07728, USA","{'latitude': 40.2581349, 'longitude': -74.2723455}","{'text': 'Dolly Screenprinting', 'languageCode': 'en'}",https://www.dollyscreenprinting.com/
places/ChIJA9e6c-O3w4kRQuSX-ypYV7E,"33 S Wood Ave, Iselin, NJ 08830, USA","{'latitude': 40.5650068, 'longitude': -74.3288242}","{'text': 'APPAREL 360 - Custom T-Shirts and Apparel Printing', 'languageCode': 'en'}",https://apparel.webway360.com/
places/ChIJQcWmBthArQIR9uwrYYXBz9U,"443 NJ-34 Ste M, Matawan, NJ 07747, USA","{'latitude': 40.421901399999996, 'longitude': -74.2629116}","{'text': 'Screen Printing New Jersey', 'languageCode': 'en'}",https://screenprintnewjersey.com/
places/ChIJF5yeH6hZwokRsfKh_-lZfFg,"114 E 28th St, New York, NY 10016, USA","{'latitude': 40.7428251, 'longitude': -73.9834}","{'text': 'Custom Village Design', 'languageCode': 'en'}",http://www.customvillagedesign.com/
places/ChIJbesq5rRPwokRYnKGclE-AG8,"6833 Amboy Rd, Staten Island, NY 10309, USA","{'latitude': 40.519257599999996, 'longitude': -74.2296942}","{'text': 'Three Sons Printing', 'languageCode': 'en'}",http://www.threesonsprinting.com/
places/ChIJm1geJBK3w4kRfJXHKLgJMjs,"33 S Wood Ave, Iselin, NJ 08830, USA","{'latitude': 40.5650068, 'longitude': -74.3288242}","{'text': 'The Stitch N Print Store - Screen Printing & Embroidery Shop', 'languageCode': 'en'}",https://thestitchnprintstore.com/
places/ChIJ4bIgPOBbwokRSey_JxL_YCg,"167 Havemeyer St, Brooklyn, NY 11211, USA","{'latitude': 40.710997899999995, 'longitude': -73.9577481}","{'text': 'Stitch Well', 'languageCode': 'en'}",http://stitchwellnyc.com/
places/ChIJTaFPRmhbwokRlQ34FJQNkkU,"1379a Nostrand Ave, Brooklyn, NY 11226, USA","{'latitude': 40.653056299999996, 'longitude': -73.94966769999999}","{'text': 'Uniform Palace Embroidery Shop', 'languageCode': 'en'}",http://theuniformpalace.com/
places/ChIJFyVBshNbwokRCQs7cZMs_Nk,"29 Lamont Ct, Brooklyn, NY 11225, USA","{'latitude': 40.6633395, 'longitude': -73.9439355}","{'text': 'Lev Impressions', 'languageCode': 'en'}",https://levimpressions.com/
places/ChIJpZi-FtVawokRi0eEfYrzoB8,"3915 14th Ave, Brooklyn, NY 11218, USA","{'latitude': 40.6388025, 'longitude': -73.9842082}","{'text': 'Best Embroidery Co', 'languageCode': 'en'}",http://www.bestembroidery.net/
places/ChIJub4jORFbwokRdy4hjzw14bg,"80 Manhattan Ave, Brooklyn, NY 11206, USA","{'latitude': 40.7051647, 'longitude': -73.94433149999999}","{'text': 'arena embroidery incorporated', 'languageCode': 'en'}",
places/ChIJmS6V1nMvwokRsBh-6l68-nY,"286 NJ-35, Eatontown, NJ 07724, USA","{'latitude': 40.2808078, 'longitude': -74.04809259999999}","{'text': 'Imprint Shop', 'languageCode': 'en'}",https://imprintshoponline.com/
places/ChIJL8npm81bwokRbX2Ksm2b76Q,"44 Hoyt St, Brooklyn, NY 11201, USA","{'latitude': 40.6893692, 'longitude': -73.9861684}","{'text': 'BK -Embroidery', 'languageCode': 'en'}",https://bk-embroidery.com/
places/ChIJnXb_RWhbwokRAVFJ3hTn5Zo,"1380 Nostrand Ave, Brooklyn, NY 11226, USA","{'latitude': 40.653074, 'longitude': -73.9499487}","{'text': 'PRINTNCHILL', 'languageCode': 'en'}",
places/ChIJOSa1HI1bwokRq8O1X03XIns,"147 Front St #223, Brooklyn, NY 11201, USA","{'latitude': 40.7025331, 'longitude': -73.9870364}","{'text': 'Klein Designs', 'languageCode': 'en'}",
places/ChIJ8xLXL1tbwokR1hReeczSvsA,"1055 Pacific St, Brooklyn, NY 11238, USA","{'latitude': 40.6791499, 'longitude': -73.95835749999999}","{'text': 'The Factory Boutique', 'languageCode': 'en'}",https://www.thefactoryb.com/
places/ChIJYf9tBMJbwokRslwySeg4WCA,"535 Kent Ave #509, Brooklyn, NY 11249, USA","{'latitude': 40.705271499999995, 'longitude': -73.9674713}","{'text': 'E Custom Wear', 'languageCode': 'en'}",http://www.ecustomwear.com/
places/ChIJuZsSbI9bwokRClTprX6sQuM,"534 3rd Ave, Brooklyn, NY 11215, USA","{'latitude': 40.6693163, 'longitude': -73.9930795}","{'text': 'Aesthetic BK LLC', 'languageCode': 'en'}",http://aestheticbk.com/
